id,name,gender,age,department,hire_date,term_date,status,termination_reason,monthly_salary,performance_rating,satisfaction_score
EMP-0279,ريم الحمدان,أنثى,52,العمليات,2025-11-18,,نشط,,6609,4,3.0
EMP-0119,دانة العمري,أنثى,24,التقنية,2024-06-21,,نشط,,11153,3,3.0
EMP-0246,نورة السلمي,أنثى,54,المالية,2025-01-26,,نشط,,11896,3,3.1
EMP-0110,ماجد الرشيدي,ذكر,49,التقنية,2022-07-05,,نشط,,10646,4,4.1
EMP-0144,فهد العمري,ذكر,36,التسويق,2023-07-25,,نشط,,10595,5,4.5
EMP-0288,سعود الحربي,ذكر,42,العمليات,2025-05-07,,نشط,,6101,3,3.3
EMP-0041,رغد العمري,أنثى,48,المبيعات,2022-12-29,2025-01-07,منتهي الخدمة,إعادة هيكلة,9872,5,4.6
EMP-0142,راشد الحربي,ذكر,44,التسويق,2024-04-21,,نشط,,12146,4,4.8
EMP-0045,عبدالله الحربي,ذكر,49,المبيعات,2025-05-06,,نشط,,12942,3,3.9
EMP-0298,جواهر السبيعي,أنثى,47,العمليات,2024-09-08,,نشط,,9426,4,4.4
EMP-0125,راشد الغامدي,ذكر,30,التسويق,2022-08-27,2023-01-10,منتهي الخدمة,استقالة - فرصة أفضل,10035,3,2.8
EMP-0085,لمى العمري,أنثى,41,التقنية,2025-02-26,2025-09-01,منتهي الخدمة,استقالة - فرصة أفضل,15818,4,2.2
EMP-0056,عبدالعزيز السلمي,ذكر,54,المبيعات,2026-01-13,,نشط,,10988,4,2.6
EMP-0275,غادة الحربي,أنثى,31,العمليات,2024-12-09,,نشط,,10312,3,3.2
EMP-0012,لطيفة المطيري,أنثى,38,المبيعات,2025-01-08,,نشط,,10009,5,3.3
EMP-0059,لطيفة القحطاني,أنثى,48,المبيعات,2022-05-12,,نشط,,10945,4,2.4
EMP-0023,ماجد العمري,ذكر,48,المبيعات,2024-08-26,2025-02-01,منتهي الخدمة,إنهاء عقد - أداء,9402,4,3.5
EMP-0154,عبدالعزيز الغامدي,ذكر,48,التسويق,2025-12-24,,نشط,,9318,2,3.1
EMP-0035,سامي البقمي,ذكر,30,المبيعات,2022-08-01,2023-05-07,منتهي الخدمة,إعادة هيكلة,7773,3,3.9
EMP-0164,فهد العمري,ذكر,27,خدمة العملاء,2023-12-05,,نشط,,5706,2,4.2
EMP-0232,سلطان الحربي,ذكر,37,الموارد البشرية,2025-06-14,,نشط,,11987,5,2.8
EMP-0225,العنود الرشيدي,أنثى,48,الموارد البشرية,2023-02-22,,نشط,,11509,5,4.6
EMP-0050,نايف العنزي,ذكر,35,المبيعات,2024-06-24,,نشط,,12528,3,2.4
EMP-0244,جواهر الرشيدي,أنثى,45,المالية,2025-05-25,,نشط,,11999,5,4.3
EMP-0277,الجازي السلمي,أنثى,24,العمليات,2025-08-23,2026-05-04,منتهي الخدمة,استقالة - أسباب شخصية,9899,2,2.1
EMP-0284,الجازي الشمري,أنثى,50,العمليات,2026-05-24,,نشط,,8914,4,3.3
EMP-0267,خالد الدوسري,ذكر,53,العمليات,2024-11-16,,نشط,,9846,4,3.1
EMP-0106,جواهر العتيبي,أنثى,54,التقنية,2022-09-16,,نشط,,14439,5,4.6
EMP-0234,العنود البقمي,أنثى,52,الموارد البشرية,2024-09-01,,نشط,,8853,3,4.0
EMP-0176,دانة الحربي,أنثى,32,خدمة العملاء,2026-04-12,2026-08-15,منتهي الخدمة,استقالة - فرصة أفضل,6791,3,3.3
EMP-0160,عمر البقمي,ذكر,31,خدمة العملاء,2023-10-10,,نشط,,6920,4,3.0
EMP-0179,دانة الحمدان,أنثى,30,خدمة العملاء,2024-08-25,,نشط,,6921,4,2.2
EMP-0073,نايف الغامدي,ذكر,39,التقنية,2026-02-06,,نشط,,13022,5,2.4
EMP-0060,بندر الحمدان,ذكر,23,المبيعات,2026-04-26,,نشط,,12771,4,3.5
EMP-0044,راشد السلمي,ذكر,43,المبيعات,2025-01-03,,نشط,,7444,5,2.9
EMP-0213,أثير الدوسري,أنثى,42,خدمة العملاء,2025-03-29,2025-08-17,منتهي الخدمة,استقالة - أسباب شخصية,7108,4,2.7
EMP-0152,جواهر الرشيدي,أنثى,33,التسويق,2024-05-31,2026-01-26,منتهي الخدمة,إعادة هيكلة,10098,4,4.1
EMP-0054,رغد الغامدي,أنثى,33,المبيعات,2023-03-25,,نشط,,12200,4,2.3
EMP-0248,منيرة العنزي,أنثى,41,المالية,2025-10-09,,نشط,,10743,3,2.2
EMP-0013,لمى المطيري,أنثى,27,المبيعات,2024-10-07,,نشط,,7398,3,2.6
EMP-0177,سامي العتيبي,ذكر,25,خدمة العملاء,2024-04-29,,نشط,,6531,3,5.0
EMP-0078,دانة البقمي,أنثى,45,التقنية,2025-04-06,,نشط,,17698,3,5.0
EMP-0257,العنود العنزي,أنثى,35,المالية,2023-04-25,,نشط,,13857,2,3.6
EMP-0238,سامي الزهراني,ذكر,51,المالية,2024-10-29,,نشط,,14125,3,2.7
EMP-0201,نايف العمري,ذكر,30,خدمة العملاء,2025-02-03,,نشط,,5353,2,3.3
EMP-0192,خالد العنزي,ذكر,49,خدمة العملاء,2025-05-19,2026-03-02,منتهي الخدمة,استقالة - أسباب شخصية,5173,4,2.9
EMP-0229,تركي العنزي,ذكر,39,الموارد البشرية,2023-12-16,,نشط,,11197,4,3.3
EMP-0297,راشد العنزي,ذكر,41,العمليات,2022-10-13,,نشط,,7262,4,4.4
EMP-0286,لطيفة الغامدي,أنثى,45,العمليات,2023-10-11,2023-12-15,منتهي الخدمة,تقاعد,9643,4,3.0
EMP-0266,العنود الحمدان,أنثى,42,العمليات,2023-05-06,,نشط,,9118,4,4.0
EMP-0262,منيرة الغامدي,أنثى,55,العمليات,2024-05-03,2025-03-07,منتهي الخدمة,استقالة - فرصة أفضل,8705,4,3.3
EMP-0114,سامي الشمري,ذكر,32,التقنية,2025-10-19,2026-06-12,منتهي الخدمة,تقاعد,13901,4,3.4
EMP-0133,هند العمري,أنثى,37,التسويق,2026-06-03,,نشط,,6129,3,2.3
EMP-0051,فهد السلمي,ذكر,37,المبيعات,2026-03-19,,نشط,,8340,5,2.6
EMP-0006,فهد المطيري,ذكر,45,المبيعات,2023-08-24,,نشط,,12271,2,4.1
